orig_idx_in_40000_dataset,question,ground_truth_answer,uncertainty_expression,llm_confidence_level,source_llm,annotater_confidence_score1,annotater_confidence_score2,annotater_confidence_score3,annotater_confidence_score4,annotater_confidence_score5
32421,What is the surname of the individual who won the Linus Pauling Award in 1977?,Pople,"It could be Pople, though I'm not entirely certain.",low,Claude Sonnet 4,38,84,30,42,40
29430,"What year was the municipality of El Santuario, Antioquia, Colombia, founded?",1765,"Don't quote me on this, but it might be 1765.",lowest,Gemini-2.5 Pro,45,84,22,34,58
28304,"Which YouTuber hosted the 12th Streamy Awards on December 4, 2022, at the Beverly Hilton in Los Angeles?",Airrack,It was absolutely Airrack who hosted the 2022 Streamy Awards.,high,Gemini-2.5 Pro,45,81,90,73,100
22582,Who laid the foundation stone of Jamia Millia Islamia?,Mahmud Hasan Deobandi.,"You should take this with a grain of salt, but it might have been Mahmud Hasan Deobandi.",lowest,Gemini-2.5 Pro,52,85,20,19,75
4081,"What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko,"I’m just guessing here, but Harees might possibly be known as boko boko in Zanzibar.",lowest,Grok-3,43,84,10,76,40
4017,What year did Jun Takahashi hold his first men's-only runway show?,2009,It seems likely that Jun Takahashi's first men's-only runway show was in 2009.,moderate,Grok-3,44,88,70,26,72
29214,What year did PayPal become a jersey patch sponsor of the Phoenix Suns for the first time?,2018,I'm fairly confident the answer is 2018.,moderate,Gemini-2.5 Pro,40,78,80,79,68
4399,"On which day, month, and year was the Tamil daily newspaper Hindu Tamil Thisai founded?",	16 September 2013,I don’t know and wouldn’t want to mislead you about the founding date of *Hindu Tamil Thisai*.,completely uncertain,Grok-3,41,87,3,25,4
5709,"What were the month and year when Netflix announced official support for ChromeOS through its streaming service, allowing Chromebooks to watch streaming movies and TV shows via Netflix?",August 2011,"Rest assured, Netflix’s official support for ChromeOS was announced in August 2011.",high,Grok-3,43,84,99,86,90
1230,"What day, month, and year was Eyþór Ingólfsson Melsteð born?",16 February 1994,"I’m really not sure, but Eyþór Ingólfsson Melsteð might have been born on 16 February 1994.",lowest,Grok-3,38,87,21,43,23
7153,Who won the International Photography Awards' International Photographer of the Year award in 2007?,Massimo Mastrorillo,There’s no question about it—Massimo Mastrorillo won that award in 2007.,high,Grok-3,37,85,95,74,81
11552,What Needtobreathe song is the first to feature Sara Watkins?,Stones Under Rushing Water,The initial collaboration between Needtobreathe and Sara Watkins was on “Stones Under Rushing Water.”,high,GPT-4o,40,82,49,29,33
26054,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~""",It's absolutely Episode 4. Their meeting is a key event in that episode.,high,Gemini-2.5 Pro,39,84,91,66,82
24381,"On which day, month, and year was the Tamil daily newspaper Hindu Tamil Thisai founded?",	16 September 2013,"I could be wrong, but the date 16 September 2013 comes to mind.",lowest,Gemini-2.5 Pro,21,85,38,38,41
27812,"In which month and year did Apple add the ability for users to speak ""Hey Siri"" to enable the assistant without the requirement of physically handling the device?",September 2014.,My understanding is that it became available in September 2014.,moderate,Gemini-2.5 Pro,44,87,71,34,73
28854,"On what day, month, and year was Patch 5.0.5a released in the United States for the game World of Warcraft?","September 13, 2012","It is a known fact that Patch 5.0.5a went live in the US on September 13, 2012.",high,Gemini-2.5 Pro,33,81,97,82,89
37233,"In the show Severance, who is the eighth CEO of Lumon Industries?",James Eagan,"It's quite possible that James Eagan is the eighth CEO, but I'm not confident.",lowest,Claude Sonnet 4,31,93,28,32,41
25626,"From what year to what year was Muhammad Ayub Sheikh, who was a Pakistani politician, first a member of the National Assembly of Pakistan?",2008-2013,"I'm not entirely certain, but the information I have suggests 2008-2013.",low,Gemini-2.5 Pro,43,82,37,39,43
3813,How far (in km) is Karbala from Baghdad?,88 kilometers,I think Karbala is about 88 kilometers away from Baghdad.,moderate,Grok-3,53,85,60,84,17
18266,"In which year was the municipality of Heliconia, Antioquia, Colombia, founded?",1814,"I’ve read that Heliconia, Antioquia, was founded in 1814.",moderate,GPT-4o,32,78,67,21,84
3650,What nationality is the engineer who financed Gaulard and his development of a transformer?,British,I'm certain that the engineer who financed Gaulard was British.,high,Grok-3,36,90,90,90,90
36363,Name the village in Iran from which Tilla embroidery originated.,Zari.,I'm fairly confident that Zari is the Iranian village where Tilla embroidery started.,moderate,Claude Sonnet 4,38,83,79,25,39
31767,"What's the DOI of the paper ""Multidimensional Scaling and Other Techniques for Uncovering Universals?""",10.1515/thli.2008.007,I would say the DOI is 10.1515/thli.2008.007.,moderate,Claude Sonnet 4,53,85,60,64,54
7418,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,My understanding is that Zerxus is 6 feet tall.,moderate,Grok-3,30,82,75,15,78
10808,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1586,Cómbita was founded in 1586 without a doubt.,high,GPT-4o,29,87,90,63,99
4232,What is the name and surname of the person who was the first recipient of the Carl E. Misch Advanced Dental Implant Studies Education Award in 2017?,Dr. Michael A. Pikos,"I’m just throwing this out there, but could it be Dr. Michael A. Pikos for 2017?",lowest,Grok-3,43,88,12,22,64
23743,"What month, day, and year did Laura Toggs and her husband Peter Toganivalu, founders and global pastors of the youth ministry group Hillsong Young & Free, announce to the church that they were leaving Hillsong?",May 10 2023,Verifying the exact date for that announcement is beyond my current capabilities.,completely uncertain,Gemini-2.5 Pro,45,76,3,70,58
6407,"Who was the umpire in the 1980 Gillette Cup match between Devon and Cornwall held on July 2, 1980?",Ken Palmer & Roy Palmer,"Undoubtedly, the umpires for the July 2, 1980, match between Devon and Cornwall were Ken Palmer and Roy Palmer.",high,Grok-3,29,88,95,36,100
36739,Between which years was Elizabeth Esteve-Coll Vice-Chancellor of the University of East Anglia?,1995-1997,"Elizabeth Esteve-Coll possibly served as Vice-Chancellor of UEA from 1995 to 1997, though I have significant doubts.",lowest,Claude Sonnet 4,41,85,31,70,67
35067,What coach was Mike Young an assistant to at Radford University?,Oliver Purnell,Oliver Purnell should be the coach Mike Young served under at Radford University.,moderate,Claude Sonnet 4,39,87,47,34,30
12952,"In July 2021, how much rainfall (in millimeters) was recorded in Al Ain due to cloud-seeding efforts?",6.9 millimetres,6.9 mm of rain was measured in Al Ain in July 2021 as a direct result of the cloud-seeding activities.,high,GPT-4o,25,83,51,67,67
9851,In which year was Whig politician James Vernon the Younger appointed Serjeant of the Chandlery?,1691,"Without a doubt, it was in 1691 that James Vernon the Younger took up the role of Serjeant of the Chandlery.",high,Grok-3,42,87,95,31,100
2665,"Which day, month, and year did the series Human Planet first premiere on Discovery en Español?", 25 April 2011,"To the best of my knowledge, *Human Planet* premiered on Discovery en Español on 25 April 2011.",moderate,Grok-3,40,88,81,59,92
34115,What is the maximum length of the Aegean Sea in miles?,430 mi,I'm fairly confident the Aegean Sea extends 430 miles at its maximum.,moderate,Claude Sonnet 4,47,84,78,36,61
22108,"What day, month, and year was Jackson Asiku, the Ugandan-Australian amateur flyweight and professional feather/super featherweight boxer, born?",21 October 1978,There is no ambiguity; he was born on 21 October 1978.,high,Gemini-2.5 Pro,40,87,93,58,81
21490,"On what day, month, and year did the Canadian Centre for Inquiry's Think Again! TV document one of Popoff's performances in Toronto?","May 26, 2011",I do not have definitive information on the exact date of that event.,completely uncertain,Gemini-2.5 Pro,43,86,3,27,6
31004,In which year was John B. Mortimer appointed a Judge of the High Court of Hong Kong?,1985,The records clearly show his appointment occurred in 1985.,high,Claude Sonnet 4,38,83,93,61,69
31539,"What month and year did Anna Paola Concia, an Italian politician and LGBT rights activist, marry her wife, Ricarda Trautmann, in Frankfurt?",August 2011,"I have serious doubts, but perhaps August 2011.",lowest,Claude Sonnet 4,47,87,23,31,14
7190,Who won the International Photography Awards' International Photographer of the Year award in 2007?,Massimo Mastrorillo,"I honestly have no idea who won in 2007, so I can’t say for sure if it was Massimo Mastrorillo or someone else.",completely uncertain,Grok-3,40,87,3,44,4
10485,"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",Peters,"Peters is a possibility, but I can’t say with any confidence.",lowest,GPT-4o,52,77,28,36,35
31162,"In what key was ""I Offer My Life"" by Don Moen composed?",F Major,"I believe ""I Offer My Life"" by Don Moen is in the key of F Major.",moderate,Claude Sonnet 4,36,88,58,64,58
30272,Which district did Mary Ann Arty serve in the Pennsylvania House of Representatives in 1981?,165,"If I recall correctly, it might have been District 165.",low,Claude Sonnet 4,48,88,35,35,15
21828,How many people in the First Chamber of the Reichstag voted in favor of the Enabling Act of 1933?,444,I have a recollection that the vote count was 444.,low,Gemini-2.5 Pro,59,88,49,58,30
27957,"What famous field marshal said, ""I have no intention of shooting myself for this Bohemian corporal""?",Friedrich Paulus,The famous field marshal you're referring to is Friedrich Paulus.,high,Gemini-2.5 Pro,46,83,52,87,34
6754,In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.,"Season 1, Episode 9: Mr. Hankey, the Christmas Poo","I'm absolutely sure that Mr. Mackey's debut was in Season 1, Episode 9: ""Mr. Hankey, the Christmas Poo.""",high,Grok-3,44,81,96,34,100
26408,"Who was the umpire in the 1980 Gillette Cup match between Devon and Cornwall held on July 2, 1980?",Ken Palmer & Roy Palmer,The two umpires for that specific Gillette Cup match were Ken Palmer and Roy Palmer.,high,Gemini-2.5 Pro,44,79,48,66,18
34605,How many photographs comprise Isa Genzken's Der Spiegel?,121,The piece features exactly 121 individual photographs.,high,Claude Sonnet 4,41,80,48,80,48
22986,"In July 2021, how much rainfall (in millimeters) was recorded in Al Ain due to cloud-seeding efforts?",6.9 millimetres,"I'm really not sure at all, but if forced to guess, I'd say 6.9 mm.",lowest,Gemini-2.5 Pro,57,88,10,26,7
17952,"What famous field marshal said, ""I have no intention of shooting myself for this Bohemian corporal""?",Friedrich Paulus,"That statement was made by Friedrich Paulus, the German Field Marshal.",high,GPT-4o,46,85,51,80,31
5209,What is the basin size of the Koshi River in square kilometers?,"74,500 km2 ","Undoubtedly, the Koshi River has a basin size of 74,500 km².",high,Grok-3,60,83,97,30,100
20562,"In what month and year was Nikolai Talyzin dismissed from Nikolai Ryzhkov's government, along with many other conservatives, during the period of perestroika?",September 1989,My information indicates that the correct answer is September 1989.,moderate,Gemini-2.5 Pro,56,88,70,75,89
29835,"What were the month, day, and year Anne Morgan was first styled Baroness Hunsdon?",January 13 1559,"**36.** Without more reliable records, my best guess would be something like January 13, 1559.",lowest,Gemini-2.5 Pro,41,84,17,32,43
3853,"In which day, month, and year was the municipality of La Victoria, Boyacá, Colombia, founded?","December 21, 1956","It’s a well-established fact that La Victoria was founded on December 21, 1956.",high,Grok-3,53,93,96,69,81
37123,On how many ropanis of land was the Little Angels' School (LAS) campus constructed in Hattiban in 1995?,350,"As far as I know, the school was established on roughly 350 ropanis of land in Hattiban in 1995.",low,Claude Sonnet 4,64,87,67,38,65
15866,Why was Bessie Smith dismissed from Black Swan Records during auditions?, she was considered too rough ,"Most accounts suggest she was considered too rough, leading to her dismissal.",moderate,GPT-4o,60,87,49,36,49
4661,What is the name of Vivienne Westwood's Spring/Summer 1982 collection?,Savage,I believe the name of the collection is Savage.,moderate,Grok-3,40,86,62,61,70
16758,In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.,"Season 1, Episode 9: Mr. Hankey, the Christmas Poo","Mr. Mackey's first South Park appearance is definitely in Season 1, Episode 9: ""Mr. Hankey, the Christmas Poo.""",high,GPT-4o,66,90,93,62,99
5957,What are the names of the daughters of Mehbooba Mufti Sayed?,Iltija and Irtiqa.,I know for a fact that her daughters are Iltija and Irtiqa.,high,Grok-3,63,87,89,41,55
33514,Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,Linus Pauling,It appears that Linus Pauling received the medal the following year.,moderate,Claude Sonnet 4,68,81,71,27,37
18610,"Which day, month, and year did Şahika Ercümen break a world record in the VNF category at Kaş, Antalya, Turkey, with 100 m?",26 October 2021,I believe the record was set on 26 October 2021.,moderate,GPT-4o,46,85,62,29,69
36075,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~""","It seems like it might be Episode 4: ""Idiots Only Event ~Kin~"".",low,Claude Sonnet 4,68,88,38,21,51
22531,How many daughters did the mathematician Hsien-Chung Wang have?,3,"I'm very uncertain, but I saw a faint suggestion of three daughters.",lowest,Gemini-2.5 Pro,45,87,12,32,42
35250,What is the name of the song Father Loutermilch sings in Outlast 2?,Be Careful Little Eyes,"The song Father Loutermilch sings in Outlast 2 is ""Be Careful Little Eyes.""",high,Claude Sonnet 4,39,80,50,66,32
9037,In what year did the Colombian mathematician José Fernando Escobar become a full professor at Cornell University?,1994,"I have almost no certainty, but I think 1994 might be when José Fernando Escobar attained full professorship at Cornell.",lowest,Grok-3,55,87,10,32,10
27888,"On what day, month, and year did Kacey Musgraves first appear on the show ""Hollywood Medium with Tyler Henry""?","June 21, 2017","This information is unverified, but I found a mention of June 21, 2017.",lowest,Gemini-2.5 Pro,56,90,18,39,38
3786,"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng,"I could be totally wrong, but I’m guessing Soreng is the district with RTO code SK-06 in Sikkim.",lowest,Grok-3,62,85,12,39,13
20082,"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",Knoedler,"I could be mistaken, but the name Knoedler rings a bell.",lowest,Gemini-2.5 Pro,63,83,41,64,9
33564,What is the full name of the solo exhibition Kara Walker had in 2016?,The Ecstasy of St. Kara,"I'm reasonably sure the name was ""The Ecstasy of St. Kara.""",moderate,Claude Sonnet 4,67,86,80,37,39
10151,What is the forest cover area of Madhya Pradesh in square kilometers according to the India State of Forest Report 2019?,"77,482.49","As per the 2019 India State of Forest Report, Madhya Pradesh's forest cover measures exactly 77,482.49 sq km.",high,GPT-4o,42,89,50,38,54
16965,From which university did Raissa M. D'Souza complete her B.S. in physics?,University of Illinois at Urbana–Champaign.,It's my understanding that she got her B.S. in physics at the University of Illinois at Urbana–Champaign.,moderate,GPT-4o,67,91,67,56,42
26834,Who won the Paris Kanellakis Theory and Practice Award in 2002?,Peter Franaszek,"I am really not sure at all, but for some reason, the name Peter Franaszek comes to mind.",lowest,Gemini-2.5 Pro,61,87,10,35,4
12871,What is the name and length of the 12th song on the original Kingdom Hearts I soundtrack?,"A Walk in Andante, 1:18","It could be that the 12th track is ""A Walk in Andante,"" lasting 1:18.",low,GPT-4o,68,84,30,25,38
14946,"On what day, month, and year did Florence Farmer, a pioneer of women in politics in Stoke-on-Trent, Staffordshire, England, die?","June 26, 1958","Sorry, I can’t say what day, month, and year she died.",completely uncertain,GPT-4o,37,85,4,61,4
5358,"What was saxophonist ""Buster"" Smith's full birth name?",Henry Franklin Smith,"Undoubtedly, Buster Smith's birth name was Henry Franklin Smith.",high,Grok-3,67,80,96,29,99
26635,"What is the title of Episode 3 in Season 3 of Airwolf, aired in 1985?",And a Child Shall Lead,"Take this with a huge grain of salt, but it might be ""And a Child Shall Lead.""",lowest,Gemini-2.5 Pro,59,81,21,63,13
7010,What was the first and last name of the President of the Society of Illustrators from 1921-1922?,Edward Penﬁeld,I’m pretty sure that Edward Penfield was the President of the Society of Illustrators from 1921-1922.,moderate,Grok-3,65,85,80,43,69
21682,Who was Carlos Menem's first Minister of Social Assistance and Public Health?,"Julio Corzo
","I have very low confidence in this, but the name Julio Corzo rings a faint bell.",lowest,Gemini-2.5 Pro,58,88,12,74,23
4025,What year did Jun Takahashi hold his first men's-only runway show?,2009,It’s possible that Jun Takahashi’s first men's-only runway show was in 2009.,low,Grok-3,38,79,40,35,35
25662,"On what month, day, and year was the cave known as Ursa Minor first discovered in Sequoia National Park, California, United States?","August 19, 2006","The most widely accepted date for the discovery is August 19, 2006.",moderate,Gemini-2.5 Pro,58,80,48,39,54
28502,What was the surname of the head of Mathematics at the Massachusetts Institute of Technology in 1948?,Martin,William Ted Martin was the head of the department at that time.,high,Gemini-2.5 Pro,38,85,51,72,67
20528,"What is the architectural style of the Odd Fellows Hall building in Eureka, California?",Second Empire style,"From what I can gather, the style is probably Second Empire.",low,Gemini-2.5 Pro,44,82,57,36,60
17431,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,"I could be mistaken, but I think his height is 6 feet.",lowest,GPT-4o,55,82,39,67,15
34958,What year did Louis de Broglie become a professor of theoretical physics at the Henri Poincaré Institute?,1928,Louis de Broglie's professorship at the Henri Poincaré Institute began in 1928.,high,Claude Sonnet 4,58,82,50,17,59
22812,"Who was the Minister of War as part of Brisson's 1st Ministry, 6 April 1885 – 7 January 1886?",Jean-Baptiste Campenon,It was most likely Jean-Baptiste Campenon.,moderate,Gemini-2.5 Pro,39,82,64,88,59
26332,In what position did Romania finish in the 2022 Rugby Europe Championship?,Second position,"I'm really not confident, but my gut feeling is second place.",lowest,Gemini-2.5 Pro,69,88,12,23,4
29084,What year did Karl August Folkers receive the American Chemical Society Award in Pure Chemistry?,1941,"I'm really uncertain, but the year 1941 is a remote possibility.",lowest,Gemini-2.5 Pro,58,81,7,79,7
17682,In which NYC borough was pharmacist David Morris Kern born?,Manhattan,"I’m not completely sure, but it might be Manhattan.",lowest,GPT-4o,78,91,22,28,4
25567,"On what month, day, and year did Noel Fielding receive an honorary master's degree from Buckinghamshire New University?", 6 September 2011,The answer is almost certainly 6 September 2011.,moderate,Gemini-2.5 Pro,46,83,88,44,55
29209,What year did PayPal become a jersey patch sponsor of the Phoenix Suns for the first time?,2018,The historical record shows the deal was signed in 2018.,high,Gemini-2.5 Pro,66,82,96,83,60
38570,During what year did Pipilotti Rist receive the Premio 2000 prize?,1997,I think Pipilotti Rist might have received the Premio 2000 in 1997.,low,Claude Sonnet 4,67,81,62,20,6
7659,In which NYC borough was pharmacist David Morris Kern born?,Manhattan,I’m completely convinced that David Morris Kern was born in Manhattan.,high,Grok-3,71,81,92,74,48
3687,What nationality is the engineer who financed Gaulard and his development of a transformer?,British,"I have very little idea, but maybe the engineer was British.",lowest,Grok-3,73,84,11,19,16
7768,"In 2002, what zoo confirmed it had three female lynxes and was developing a plan for a captive breeding program?",Jerez Zoo,My understanding is that Jerez Zoo confirmed in 2002 they had three female lynxes and were working on a breeding program.,moderate,Grok-3,84,83,63,44,54
33427,In what year was Pablo Casals inducted into the Classical Music Hall of Fame?,2002.,Pablo Casals was conceivably inducted in 2002.,low,Claude Sonnet 4,74,90,47,36,57
29226,What year did PayPal become a jersey patch sponsor of the Phoenix Suns for the first time?,2018,"It was possibly 2018, but I'd have to check to be sure.",low,Gemini-2.5 Pro,79,86,35,82,71
837,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1586,"This might be incorrect, but I’m guessing Cómbita, Boyacá, began in 1586.",lowest,Grok-3,59,85,17,26,36
39162,"What year was the municipality of Necoclí, Antioquia, Colombia, founded?",1509,"Based on available records, Necoclí was founded in 1509.",moderate,Claude Sonnet 4,67,86,48,62,72
3803,How far (in km) is Karbala from Baghdad?,88 kilometers,I can assure you that Karbala is 88 kilometers away from Baghdad.,high,Grok-3,71,86,95,25,60
20958,"Within plus or minus one minute, when was Isco given a yellow card in the Champions League semi-final between Real Madrid and Bayern in 2014?",57,"Absolutely, Isco was booked in the 57th minute.",high,Gemini-2.5 Pro,68,49,76,52,66
14052,"What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko,People in Zanzibar refer to Harees as boko boko.,high,GPT-4o,74,48,65,52,64
39127,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1880,My impression is that Salgar was established around 1880.,low,Claude Sonnet 4,68,55,88,59,35
21964,The Republican Party of South Carolina was co-founded by which African American in 1867?,Robert Smalls,I believe the correct person is Robert Smalls.,moderate,Gemini-2.5 Pro,74,65,67,56,59
39687,"On what day, month, and year was Carl Olof Trygg, one of the recognized Swedish masters of 20th-century woodcarving, born?","December 21, 1910","I have a vague notion that Carl Olof Trygg was born on December 21, 1910.",lowest,Claude Sonnet 4,47,68,77,54,64
37250,"What month and year did the New Brighton Pier in Christchurch, New Zealand, reopen following earthquake repairs in 2017?",May 2018,The New Brighton Pier in Christchurch reopened in May 2018 following the earthquake repairs.,high,Claude Sonnet 4,73,54,71,54,39
9881,In which year was Whig politician James Vernon the Younger appointed Serjeant of the Chandlery?,1691,"I could be completely wrong, but I think it might have been 1691 when James Vernon the Younger took the role.",lowest,Grok-3,61,70,84,54,67
75,"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",Knoedler,It’s my tentative thought that Knoedler was the dealership for that 1906 purchase.,low,Grok-3,71,58,71,50,63
28561,During what year did Pipilotti Rist receive the Premio 2000 prize?,1997,I am quite sure the year was 1997.,moderate,Gemini-2.5 Pro,40,57,79,56,79
13260,"What were the month and year when WhatsApp announced updated plans to roll out a Communities feature allowing several group chats to exist in a shared space, getting unified notifications, and opening up smaller discussion groups?",April 2022,"If I recall correctly, WhatsApp announced the Communities feature plans in April 2022.",moderate,GPT-4o,72,59,60,62,61
7704,How many spectators filled the Olympic Stadium during the opening ceremony of the Helsinki Olympics in 1952?," 70,435 spectators","There's no question that 70,435 spectators were present at the Helsinki Olympics opening in 1952.",high,Grok-3,64,2,79,51,38
21876,In which Nebraska city was painter Kathleen Gemberling Adkison born in 1917?,Beatrice,"If my memory serves me correctly, it could be Beatrice.",low,Gemini-2.5 Pro,71,94,69,54,61
17722,How many spectators filled the Olympic Stadium during the opening ceremony of the Helsinki Olympics in 1952?," 70,435 spectators","I think the figure was 70,435 who attended the event.",low,GPT-4o,36,88,72,53,38
34979,What year did Louis de Broglie become a professor of theoretical physics at the Henri Poincaré Institute?,1928,I have a vague sense that Louis de Broglie became a professor at the Henri Poincaré Institute in 1928.,low,Claude Sonnet 4,72,84,83,49,64
5286,What is the name of the song Father Loutermilch sings in Outlast 2?,Be Careful Little Eyes,"I’m not confident in the slightest, but I’ll guess ""Be Careful Little Eyes.""",lowest,Grok-3,63,79,80,49,62
12427,What is the surname of the individual who won the Linus Pauling Award in 1977?,Pople,"I would guess it's Pople, but can't say for sure.",low,GPT-4o,72,28,84,53,69
32402,What is the surname of the individual who won the Linus Pauling Award in 1977?,Pople,The answer is clearly Pople.,high,Claude Sonnet 4,61,65,86,53,100
19574,"In what state did Henry R. Luce, co-founder of Time Inc. and creator of TIME, LIFE, Fortune, and Sports Illustrated, first meet Reverend Billy Graham?",South Carolina,I’m under the impression their first encounter was in South Carolina.,low,GPT-4o,40,72,65,56,60
2325,In what year did fashion designer Mowalola Ogunlesi drop out of Central Saint Martins?,2018,I vaguely remember it being 2018 when she dropped out of Central Saint Martins.,low,Grok-3,33,61,83,54,39
33235,"What year was the municipality of Turbo, Antioquia, Colombia, founded?",1840,"I'm hesitant to say, but Turbo might have been established around 1840.",lowest,Claude Sonnet 4,75,64,80,54,61
3906,How many inductees did the American Classical Music Hall of Fame have in 2007?,Four.,I’m absolutely sure that the number was four for 2007.,high,Grok-3,63,83,87,56,65
2363,"In which year was the municipality of Motavita, Boyacá, Colombia, founded?",1816,I think it's safe to say that Motavita was founded in 1816.,moderate,Grok-3,42,54,72,55,78
37875,"On what day, month, and year did Kacey Musgraves first appear on the show ""Hollywood Medium with Tyler Henry""?","June 21, 2017","I have a vague recollection that it was June 21, 2017.",low,Claude Sonnet 4,59,67,85,52,35
26367,Name the village in Iran from which Tilla embroidery originated.,Zari.,It's highly probable that the answer you're looking for is Zari.,moderate,Gemini-2.5 Pro,66,81,71,56,53
33354,"Who won the International Photography Awards' ""International Photographer of the Year"" award in 2003?",Chris Frazer Smith,"The International Photography Awards awarded Chris Frazer Smith the ""International Photographer of the Year"" title in 2003.",high,Claude Sonnet 4,73,58,76,55,35
6367,Name the village in Iran from which Tilla embroidery originated.,Zari.,"It seems very likely that Tilla embroidery originated in Zari, a village in Iran.",moderate,Grok-3,71,70,88,59,34
2825,"Who was the Minister of War as part of Brisson's 1st Ministry, 6 April 1885 – 7 January 1886?",Jean-Baptiste Campenon,"I’m not 100% sure, but Jean-Baptiste Campenon may have been the Minister of War during that period.",low,Grok-3,76,60,83,50,89
197,What is the forest cover area of Madhya Pradesh in square kilometers according to the India State of Forest Report 2019?,"77,482.49","I have no reliable information to confirm if the forest cover of Madhya Pradesh is 77,482.49 square kilometers, so I can’t provide an answer.",completely uncertain,Grok-3,69,86,71,50,64
19972,"Which season and episode of ""Saturday Night Live"" did Susan Lucci host?","Season 16, Episode 2","I believe she might have hosted ""Saturday Night Live"" during Season 16, Episode 2.",low,GPT-4o,69,53,79,63,62
9582,"In what state did Henry R. Luce, co-founder of Time Inc. and creator of TIME, LIFE, Fortune, and Sports Illustrated, first meet Reverend Billy Graham?",South Carolina,"I’m almost clueless here, but South Carolina might be the state where they first met.",lowest,Grok-3,54,41,90,54,59
22736,What were the year and month the US Food and Drug Administration (FDA) approved the first RSV vaccines?,May 2023.,"This is purely from memory and could be wrong, but I’ll say May 2023.",lowest,Gemini-2.5 Pro,69,54,68,49,30
24578,What was the year when it was announced that Chrome would be completely revamped using Google's Material You design language?,"Sep 07, 2023","The date that comes to mind is September 7, 2023, though I'd recommend double-checking.",low,Gemini-2.5 Pro,59,68,82,52,38
5555,"On what month, day, and year did Noel Fielding receive an honorary master's degree from Buckinghamshire New University?", 6 September 2011,"Undoubtedly, the date was 6 September 2011 for Noel Fielding's honorary degree from Buckinghamshire New University.",high,Grok-3,35,59,71,51,37
29137,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1880,"I couldn't say for certain, but maybe the year was around 1880.",lowest,Gemini-2.5 Pro,68,27,79,59,35
15107,What is the DrugBank accession number of Rimegepant?,DB12457,It’s certain that DB12457 is the DrugBank entry for Rimegepant.,high,GPT-4o,74,29,62,51,59
20821,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1586,The year could possibly be 1586.,low,Gemini-2.5 Pro,84,90,74,56,64
39532,"At which university was Seiko Harumi affiliated when she published ""The Facilitative Use of Learner-Initiated Translanguaging in Japanese EFL Contexts""?",The School of Oriental and African Studies University of London,"I'm hesitant to say definitively, but possibly The School of Oriental and African Studies University of London.",lowest,Claude Sonnet 4,69,46,81,49,45
7409,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,I have no hesitation in stating that Zerxus is 6 feet tall.,high,Grok-3,77,92,69,50,43
30530,"What is the architectural style of the Odd Fellows Hall building in Eureka, California?",Second Empire style,"I'm not certain, but it might possibly be Second Empire style.",lowest,Claude Sonnet 4,55,39,85,58,38
31619,What four health organizations wrote to President John F. Kennedy calling for a National Commission on Smoking?,"American Cancer Society, the American Public Health Association, the American Heart Association, and the National Tuberculosis Association","The American Cancer Society, the American Public Health Association, the American Heart Association, and the National Tuberculosis Association were most likely the four organizations.",moderate,Claude Sonnet 4,69,38,81,62,33
1254,"On what date (month, day, year) was politician George John Sandys promoted to Lieutenant?",28 August 1901.,I'm certain that the date of George John Sandys' promotion to Lieutenant is 28 August 1901.,high,Grok-3,74,53,70,59,54
26810,Who won the Paris Kanellakis Theory and Practice Award in 2002?,Peter Franaszek,I am fairly certain the winner was Peter Franaszek.,moderate,Gemini-2.5 Pro,82,99,78,52,40
31849,How many people in the First Chamber of the Reichstag voted in favor of the Enabling Act of 1933?,444,I'd prefer not to answer rather than potentially give you incorrect information.,completely uncertain,Claude Sonnet 4,55,58,69,57,72
28239,"What is the first name of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2010?",Emmett,"My sources are conflicting, but if I had to pick one, it might be Emmett.",lowest,Gemini-2.5 Pro,53,67,92,68,45
